"MSSubClass","LotFrontage","LotArea","Street","Alley","Utilities","Condition1","Condition2","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrArea","AgeBuilt","AgeRemodAdd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageAge","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","MiscFeaturePres","MoSold","YrSold","MSZoning.C..all.","MSZoning.FV","MSZoning.RH","MSZoning.RL","MSZoning.RM","LotShape.IR1","LotShape.IR2","LotShape.IR3","LotShape.Reg","LandContour.Bnk","LandContour.HLS","LandContour.Low","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.FR2","LotConfig.FR3","LotConfig.Inside","LandSlope.Gtl","LandSlope.Mod","LandSlope.Sev","Neighborhood.BlmCCC","Neighborhood.BlMiNAmNpkSaSW","Neighborhood.GNwSaW","Neighborhood.NoNri","Neighborhood.STV","BldgType.1Fam","BldgType.2fmCon","BldgType.Duplex","BldgType.Twnhs","BldgType.TwnhsE","MasVnrType.BrkFace","MasVnrType.Others","MasVnrType.Stone","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","Foundation.Slab","Foundation.Stone","Foundation.Wood","Electrical.FuseA","Electrical.FuseF","Electrical.FuseP","Electrical.Mix","Electrical.SBrkr","Functional.Maj1","Functional.Maj2","Functional.Min1","Functional.Min2","Functional.Mod","Functional.Sev","Functional.Typ","GarageType.2Types","GarageType.Attchd","GarageType.Basment","GarageType.BuiltIn","GarageType.CarPort","GarageType.Detchd","GarageType.None","PavedDrive.N","PavedDrive.P","PavedDrive.Y","Fence.GdPrv","Fence.GdWo","Fence.MnPrv","Fence.MnWw","Fence.None","SaleType.COD","SaleType.Con","SaleType.ConLD","SaleType.ConLI","SaleType.ConLw","SaleType.CWD","SaleType.New","SaleType.Oth","SaleType.WD","SaleCondition.Abnorml","SaleCondition.AdjLand","SaleCondition.Alloca","SaleCondition.Family","SaleCondition.Normal","SaleCondition.Partial","TotalSqFeet","TotalPorchSF","PoolArea","PoolQC","SalePrice"
0,65,8450,1,1,1,1,1,0,7,5,1,1,1,1,196,18,18,3,5,3,5,4,3,706,7,0,150,1,1,1,856,854,0,1,0,2,1,1,1,3,8,0,4,7,3,2,548,6,6,0,1,2,2008,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1710,61,0,1,12.247694320221
1,80,9600,1,1,1,0,1,1,6,8,1,1,0,0,0,45,45,4,5,3,5,2,1,978,7,0,284,1,1,1,1262,0,0,0,1,2,0,1,1,4,6,1,6,34,3,2,460,6,6,298,1,5,2007,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1262,0,0,1,12.109010932687
0,68,11250,1,1,1,1,1,0,7,5,1,1,1,1,162,20,19,3,5,3,5,3,3,486,7,0,434,1,1,1,920,866,0,1,0,2,1,1,1,3,6,1,6,9,3,2,608,6,6,0,1,9,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1786,42,0,1,12.3171666930358
1,60,9550,1,1,1,1,1,0,7,5,1,1,0,0,0,106,51,4,5,5,2,4,1,216,7,0,540,1,3,1,961,756,0,1,0,1,0,1,1,3,7,1,3,12,4,3,642,6,6,0,1,2,2006,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1717,307,0,1,11.8493977015914
0,84,14260,1,1,1,1,1,0,8,5,1,1,1,1,350,21,21,3,5,3,5,1,3,655,7,0,490,1,1,1,1145,1053,0,1,0,2,1,1,1,3,9,1,6,10,3,3,836,6,6,192,1,12,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2198,84,0,1,12.4292161968444
1,75,10084,1,1,1,1,1,1,8,5,1,1,1,1,186,17,16,3,5,1,5,1,3,1369,7,0,317,1,1,1,1694,0,0,1,0,2,0,1,1,3,7,1,3,6,3,2,636,6,6,255,1,8,2007,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1694,57,0,1,12.6346030265693
1,51,6120,1,1,1,0,1,0,7,5,1,1,1,0,0,90,71,4,5,5,5,4,7,0,7,0,952,1,3,1,1022,752,0,0,0,2,0,1,1,4,8,2,6,79,4,2,468,3,6,90,1,4,2008,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1774,205,0,1,11.7745202026587
0,85,11924,1,1,1,1,1,0,9,5,0,1,0,0,286,16,15,1,5,1,5,4,3,998,7,0,177,1,1,1,1182,1142,0,1,0,3,0,1,1,1,11,2,3,5,1,3,736,6,6,147,1,7,2006,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2324,21,0,1,12.7512996960135
1,91,10652,1,1,1,1,1,1,7,5,1,1,1,1,306,15,14,3,5,3,5,1,7,0,7,0,1494,1,1,1,1494,0,0,0,0,2,0,1,1,3,7,1,3,4,3,3,840,6,6,160,1,8,2007,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1494,33,0,1,12.5407575715773
1,73,10920,1,1,1,1,1,1,6,5,0,1,0,0,212,61,61,4,5,5,5,4,2,733,7,0,520,1,5,1,1253,0,0,1,0,1,1,1,1,4,5,1,2,50,3,1,352,6,6,0,1,5,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1253,389,0,1,11.9640010843304
1,73,11241,1,1,1,1,1,1,6,7,1,1,0,0,180,51,51,4,5,5,5,4,1,578,7,0,426,1,1,1,1004,0,0,1,0,1,0,1,1,4,5,1,6,40,1,2,480,6,6,0,0,3,2010,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1004,0,0,1,11.9117015849276
1,72,10791,1,1,1,1,1,1,4,5,1,1,0,0,0,54,54,4,5,4,3,5,5,0,5,0,0,1,5,1,1296,0,0,0,0,2,0,1,1,4,6,0,4,43,4,2,516,6,6,0,0,10,2006,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1296,0,0,1,11.4075649493124
