"MSSubClass","LotFrontage","LotArea","Street","Alley","Utilities","Condition1","Condition2","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrArea","AgeBuilt","AgeRemodAdd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageAge","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","MiscFeaturePres","MoSold","YrSold","MSZoning.C..all.","MSZoning.FV","MSZoning.RH","MSZoning.RL","MSZoning.RM","LotShape.IR1","LotShape.IR2","LotShape.IR3","LotShape.Reg","LandContour.Bnk","LandContour.HLS","LandContour.Low","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.FR2","LotConfig.FR3","LotConfig.Inside","LandSlope.Gtl","LandSlope.Mod","LandSlope.Sev","Neighborhood.BlmCCC","Neighborhood.BlMiNAmNpkSaSW","Neighborhood.GNwSaW","Neighborhood.NoNri","Neighborhood.STV","BldgType.1Fam","BldgType.2fmCon","BldgType.Duplex","BldgType.Twnhs","BldgType.TwnhsE","MasVnrType.BrkFace","MasVnrType.Others","MasVnrType.Stone","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","Foundation.Slab","Foundation.Stone","Foundation.Wood","Electrical.FuseA","Electrical.FuseF","Electrical.FuseP","Electrical.Mix","Electrical.SBrkr","Functional.Maj1","Functional.Maj2","Functional.Min1","Functional.Min2","Functional.Mod","Functional.Sev","Functional.Typ","GarageType.2Types","GarageType.Attchd","GarageType.Basment","GarageType.BuiltIn","GarageType.CarPort","GarageType.Detchd","GarageType.None","PavedDrive.N","PavedDrive.P","PavedDrive.Y","Fence.GdPrv","Fence.GdWo","Fence.MnPrv","Fence.MnWw","Fence.None","SaleType.COD","SaleType.Con","SaleType.ConLD","SaleType.ConLI","SaleType.ConLw","SaleType.CWD","SaleType.New","SaleType.Oth","SaleType.WD","SaleCondition.Abnorml","SaleCondition.AdjLand","SaleCondition.Alloca","SaleCondition.Family","SaleCondition.Normal","SaleCondition.Partial","TotalSqFeet","TotalPorchSF","PoolArea","PoolQC","SalePrice"
0,59,11228,1,1,1,1,1,0,7,5,1,1,1,1,0,28,28,3,5,3,5,4,2,50,3,531,499,1,1,1,1080,1017,0,0,1,2,1,1,1,3,9,1,6,17,4,3,678,6,6,196,1,12,2008,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2097,187,0,1,12.3371009079366
1,60,8281,1,1,1,1,1,1,5,5,1,1,0,0,0,56,56,4,5,5,5,4,6,553,2,311,0,1,3,1,864,0,0,0,0,1,0,1,1,4,5,1,5,45,4,1,360,6,6,0,1,12,2009,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,864,236,0,1,11.0410480813427
1,63,17423,1,1,1,1,1,1,9,5,0,1,1,1,748,13,12,1,5,1,5,4,3,1904,7,0,312,1,1,1,2234,0,0,1,0,2,0,1,1,1,9,1,3,1,1,3,1166,6,6,0,1,7,2009,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2234,60,0,1,13.1260306447518
1,70,13300,1,1,1,1,1,1,5,7,0,1,0,0,0,65,21,4,5,3,5,4,6,377,7,0,551,1,5,1,928,0,0,0,0,1,0,1,1,4,4,0,4,54,4,1,252,6,6,261,1,6,2007,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,928,156,0,1,11.7905572015685
1,60,7180,1,1,1,1,1,1,5,7,0,1,0,0,0,49,49,4,5,5,5,1,1,390,7,0,474,1,5,1,864,0,0,0,0,1,0,1,1,4,5,0,4,21,4,1,352,6,6,0,1,5,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,864,0,0,1,11.7519423654407
0,73,8760,1,1,1,1,1,0,7,5,1,1,1,1,0,15,15,3,5,3,2,3,3,464,7,0,927,1,1,1,1391,571,0,0,0,2,1,1,1,3,7,0,4,4,3,3,868,6,6,0,1,8,2006,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1962,90,0,1,12.3875563514251
0,77,9965,1,1,1,1,1,0,8,5,0,1,1,1,340,15,14,3,5,1,5,2,3,1150,7,0,316,1,1,1,1466,1362,0,1,0,3,0,1,1,3,11,1,6,4,3,3,1052,6,6,125,1,4,2007,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2828,144,0,1,12.9595385187621
1,75,9986,1,1,1,1,1,1,8,5,1,1,1,1,428,15,14,3,5,1,5,1,7,0,7,0,1795,1,1,1,1795,0,0,0,0,2,0,1,1,3,7,1,3,3,3,3,895,6,6,0,1,2,2007,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1795,49,0,1,11.8981878657609
0,80,17542,1,1,1,1,1,0,7,7,1,1,0,0,0,47,18,3,5,5,5,2,4,125,1,1031,36,1,5,1,1516,651,0,1,0,2,1,1,1,3,9,2,3,36,3,2,518,6,6,220,1,7,2007,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2167,47,0,1,12.5913350463208
1,70,14100,1,1,1,1,1,0,8,9,1,1,0,0,632,86,24,4,3,5,5,3,6,192,7,0,536,1,1,1,1968,1479,0,0,0,3,1,1,1,3,11,2,3,28,4,3,1014,6,6,314,1,5,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3447,12,0,1,12.8505546541088
1,21,1533,1,1,1,1,1,0,4,6,1,1,1,1,0,51,13,4,5,5,5,4,7,0,7,0,546,1,5,1,798,546,0,0,0,1,1,1,1,4,6,1,6,0,2,0,0,1,4,0,1,5,2009,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1344,0,0,1,11.4824662574855
